Sample;Field_ID;Filter_Type;Date;Taxa6;Taxa8;Taxa9;Taxa10;Taxa12;Taxa14;Taxa15;Taxa16;Taxa20;Taxa23;Taxa24;Taxa26
F10;S27_D3;M6;D3;0;0;0;0;0;8219;0;0;0;0;0;0
F15;S11_D1;M6;D1;0;24736;0;0;0;0;0;0;0;2387;2254;0
F16;S21_D3;M6;D3;24573;0;0;0;0;4624;0;0;5218;0;0;497
F2;S16_D3;M6;D3;0;0;0;0;0;0;0;1758;0;0;0;0
F24;S15_D1;M6;D1;0;0;0;0;0;0;0;0;0;1790;1850;0
F47;S24_D2;M6;D2;5800;0;0;0;2618;2569;0;0;0;0;0;0
F5;S9_D2;M6;D2;0;3446;38110;0;0;0;0;0;0;0;0;0
F55;S13_D1;M6;D1;0;12817;0;24347;0;0;0;0;0;0;0;0
F62;S16_D2;M6;D2;7463;0;0;0;0;0;0;0;0;0;0;0
F63;S3_D3;M6;D3;21201;0;0;0;0;0;0;0;0;0;0;0
F77;S1_D1;M6;D1;0;0;0;0;0;0;16672;0;0;0;0;0
F79;S28_D1;M6;D1;0;4314;0;0;0;0;0;0;0;0;0;0
F82;S5_D1;M6;D1;2953;0;3868;0;0;0;0;0;0;0;0;0
F84;S4_D2;M6;D2;0;0;0;6163;0;0;0;0;0;0;0;0