Sample;Field_ID;Filter_Type;Date;PCOA_X;PCOA_Y;Beta_disp;Richness
F1;S22_D3;M6;D3;0,068775446;0,123484181;0;10
F10;S27_D3;M6;D3;0,090287323;0,148657874;0,064938491;12
F14;S25_D1;F7_LF;D1;0,127793243;-0,170054055;0;3
F15;S11_D1;M6;D1;0,07949343;0,135642971;0;9
F16;S21_D3;M6;D3;0,092796527;0,112187173;0,04125352;9
F17;S21_D2;F7_LF;D2;-0,271120822;-0,287444981;0,288342832;1
F18;S18_D3;M6;D3;0,088147594;0,11989738;0;7
F19;S19_D3;F7_FB;D3;0,185315257;0,579946014;0,158314236;4
F2;S16_D3;M6;D3;0,040853493;-0,009250676;0;9
F20;S16_D1;F7_LF;D1;0,089122114;-0,266425895;0;3
F21;S26_D2;F8;D2;0,564454462;0,053605257;0,725151538;2
F23;S12_D3;F7_LF;D3;0,24492758;-0,127991463;0;5
F24;S15_D1;M6;D1;0,083926459;0,036599272;0,048566608;11
F26;S25_D2;F8;D2;-0,274119033;0,054974471;0,091523093;4
F27;S24_D3;F7_FB;D3;0,24492758;-0,127991463;0,297801536;5
F28;S7_D2;F8;D2;-0,277505646;-0,319081332;0,313352264;2
F29;S8_D1;F8;D1;0,051219372;-0,209705465;0,204927601;3
F3;S26_D1;F7_FB;D1;0,003590611;0,07813404;0;4
F30;S14_D1;F7_FB;D1;-0,239747576;0,023944138;0;4
F31;S2_D2;F7_LF;D2;-0,051797505;0,016618018;0,22400556;7
F32;S23_D1;F7_FB;D1;0,054178782;-0,212557501;0,217289884;4
F33;S9_D1;F8;D1;-0,167456096;-0,302736976;0,302755427;2
F34;S17_D3;F8;D3;0,709933075;0,033546666;0,686451094;3
F36;S26_D3;F7_FB;D3;0,154899258;-0,189471458;0,262925121;4
F37;S12_D1;F8;D1;-0,32639669;0,015691906;0,212905239;3
F39;S18_D2;F7_LF;D2;-0,029877365;0,078414501;0;5
F41;S13_D3;F7_LF;D3;0,574537928;0,019340836;0,485613684;4
F42;S20_D2;F7_FB;D2;-0,391893046;0,297887389;0,413384058;9
F43;S6_D2;F7_FB;D2;-0,325961462;0,04676171;0,144148464;3
F44;S25_D3;F7_LF;D3;0,772838914;0,140300296;0,554535066;3
F45;S10_D1;F8;D1;-0,259518076;0,058363167;0,274736564;6
F46;S15_D3;F7_LF;D3;0,154899258;-0,189471458;0;4
F47;S24_D2;M6;D2;-0,071502034;0,144882967;0,126979115;9
F48;S7_D3;F7_LF;D3;0,180427223;-0,103157723;0;3
F5;S9_D2;M6;D2;-0,04689002;0,100999782;0;6
F50;S12_D2;F7_FB;D2;-0,302135803;0,109717313;0,19059423;5
F52;S11_D3;F7_FB;D3;0,265311657;-0,155149847;0,346063637;6
F53;S4_D1;F7_LF;D1;0,051219372;-0,209705465;0,045598373;3
F54;S15_D2;F8;D2;-0,228606161;-0,408998635;0,405791667;4
F55;S13_D1;M6;D1;-0,029877365;0,078414501;0;5
F56;S5_D3;F7_FB;D3;0,088147594;0,11989738;0;7
F57;S27_D1;F7_FB;D1;-0,019185807;0,016746769;0;5
F58;S8_D3;F7_FB;D3;0,209712259;-0,110224538;0,297472792;8
F59;S6_D1;F7_LF;D1;-0,071243883;0,052825806;0,170283492;6
F60;S9_D3;F7_LF;D3;0,164839632;-0,194749867;0;4
F61;S7_D1;F8;D1;0,448420146;0,368717778;0,875081083;2
F62;S16_D2;M6;D2;0,005991551;0,090674329;0;9
F63;S3_D3;M6;D3;0,154899258;-0,189471458;0,169274903;4
F64;S4_D3;F8;D3;0,124336265;-0,135019342;0,08072088;3
F66;S28_D2;F7_FB;D2;-0,367346815;0,2265249;0,337750206;8
F68;S21_D1;F7_FB;D1;-0,087400045;0,036442755;0;5
F69;S3_D1;F7_FB;D1;-0,09343912;0,109616254;0;5
F7;S22_D1;F7_LF;D1;-0,231050467;-0,016548423;0,193218212;3
F70;S10_D3;F8;D3;-0,167456096;-0,302736976;0,302755427;2
F71;S2_D3;F8;D3;0,127793243;-0,170054055;0;3
F72;S1_D2;F7_FB;D2;-0,04689002;0,100999782;0;6
F73;S20_D1;F7_LF;D1;-0,221604854;-0,301986282;0,334946451;3
F74;S11_D2;F7_LF;D2;-0,333056451;0,079966364;0,380958396;4
F75;S1_D3;F8;D3;0,066279838;-0,248994864;0;2
F76;S13_D2;M6;D2;-0,13241788;0,157672062;0,243617895;11
F77;S1_D1;M6;D1;0,075463915;0,110160963;0,042676742;9
F78;S5_D2;F7_FB;D2;-0,26381511;0,028331123;0,179759011;3
F79;S28_D1;M6;D1;0,014046341;0,114277865;0,162359983;8
F8;S8_D2;F8;D2;-0,358628151;0,866151609;0,765113591;2
F80;S19_D2;M6;D2;-0,333056451;0,079966364;0,075461155;4
F81;S24_D1;F8;D1;0,007278499;0,003954428;0;4
F82;S5_D1;M6;D1;0,093067156;0,147827884;0;12
F83;S27_D2;F7_LF;D2;-0,282045911;-0,255907724;0,317827542;2
F84;S4_D2;M6;D2;0,020010929;0,183566662;0,058405171;9
F9;S14_D2;F8;D2;-0,271120822;-0,287444981;0,290705849;1