Sam;Dist_m;OTU_dist;Storage_type;
1;247,051177;1;Frozen;
2;245,9753148;0,391;Frozen;
3;283,9254929;0,757;Frozen;
4;307,9315566;0,486;Frozen;
5;345,3161936;0,213;Frozen;
6;401,6158531;0,195;Frozen;
7;455,5200139;0,514;Frozen;
8;444,5834853;0,479;Frozen;
9;457,4258341;0,397;Frozen;
10;43,65457424;0,188;Frozen;
11;483,371291;0,765;Frozen;
12;60,87711872;0,522;Frozen;
13;82,63846185;0,902;Frozen;
14;104,2380903;0,412;Frozen;
15;104,0679539;1;Frozen;
16;130,0306613;0,897;Frozen;
17;199,0831526;1;Frozen;
18;23,51160224;1;Frozen;
19;44,48821114;1;Frozen;
20;60,88954689;1;Frozen;
21;98,26551231;1;Frozen;
22;155,303355;1;Frozen;
23;208,6391738;1;Frozen;
24;197,6446402;1;Frozen;
25;212,0580788;1;Frozen;
26;207,091912;1;Frozen;
27;241,1728868;1;Frozen;
28;188,7010704;1;Frozen;
29;165,4594161;0,477;Frozen;
30;143,3111256;1;Frozen;
31;146,2030015;1;Frozen;
32;122,9248082;1;Frozen;
33;48,77972207;0,224;Frozen;
34;37,95173727;0,752;Frozen;
35;66,8732678;0,524;Frozen;
36;103,0654307;0,192;Frozen;
37;162,019936;0,199;Frozen;
38;213,3830997;0,495;Frozen;
39;200,1586281;0,504;Frozen;
40;211,5183209;0,396;Frozen;
41;208,0564461;0,191;Frozen;
42;237,8823688;0,751;Frozen;
43;189,8574231;1;Frozen;
44;166,4564482;0,886;Frozen;
45;144,3128893;0,425;Frozen;
46;142,7231977;1;Frozen;
47;117,7550611;0,891;Frozen;
48;48,4651629;1;Frozen;
49;35,87248264;1;Frozen;
50;67,93486779;0,641;Frozen;
51;127,0745401;0,625;Frozen;
52;176,856629;0,362;Frozen;
53;162,7887326;1;Frozen;
54;173,5807966;0,782;Frozen;
55;245,8300277;0,58;Frozen;
56;200,1535614;1;Frozen;
57;227,5854186;1;Frozen;
58;204,1822833;1;Frozen;
59;182,0028539;0,757;Frozen;
60;180,6215422;1;Frozen;
61;155,5091193;1;Frozen;
62;85,80976722;1;Frozen;
63;37,39548459;0,36;Frozen;
64;95,44293006;0,369;Frozen;
65;147,9863754;1;Frozen;
66;136,7845159;0,19;Frozen;
67;152,155966;0,489;Frozen;
68;267,901343;0,38;Frozen;
69;183,0600503;0,359;Frozen;
70;249,5048692;1;Frozen;
71;226,302921;0,494;Frozen;
72;204,1749137;0,515;Frozen;
73;206,579014;1;Frozen;
74;182,622734;0,512;Frozen;
75;109,2153494;1;Frozen;
76;59,19440608;0,079;Frozen;
77;110,6924423;0,381;Frozen;
78;99,54708455;0,367;Frozen;
79;116,3442248;0,207;Frozen;
80;305,1750997;0,082;Frozen;
81;149,1598044;0,626;Frozen;
82;286,7767549;1;Frozen;
83;263,6098442;0,757;Frozen;
84;241,5027798;0,198;Frozen;
85;243,9009465;1;Frozen;
86;219,7909778;0,777;Frozen;
87;146,5881175;1;Frozen;
88;54,78740029;0,38;Frozen;
89;51,71948217;0,361;Frozen;
90;78,04918581;0,203;Frozen;
91;360,5822286;0,068;Frozen;
92;116,1246518;0,636;Frozen;
93;342,2176069;1;Frozen;
94;319,3276939;0,767;Frozen;
95;297,4267018;0,192;Frozen;
96;301,5019934;1;Frozen;
97;277,8970039;0,78;Frozen;
98;204,0544326;1;Frozen;
99;23,10537991;1;Frozen;
100;47,70630928;0,502;Frozen;
101;414,8175358;0,372;Frozen;
102;81,99556469;1;Frozen;
103;396,4337323;1;Frozen;
104;373,4372509;1;Frozen;
105;351,4459689;0,531;Frozen;
106;354,5645417;1;Frozen;
107;330,4748619;1;Frozen;
108;257,1845973;1;Frozen;
109;29,63932278;0,491;Frozen;
110;404,6831541;0,36;Frozen;
111;67,52596478;0,383;Frozen;
112;386,2859798;1;Frozen;
113;363,0867131;0,506;Frozen;
114;340,9525047;0,525;Frozen;
115;342,4797668;1;Frozen;
116;317,8527606;0,511;Frozen;
117;245,5713966;1;Frozen;
118;418,6862791;0,164;Frozen;
119;38,34814033;0,748;Frozen;
120;400,342053;1;Frozen;
121;376,9859364;0,89;Frozen;
122;354,7767545;0,405;Frozen;
123;354,189639;1;Frozen;
124;328,9491144;0,887;Frozen;
125;258,6159237;1;Frozen;
126;445,9368464;0,596;Frozen;
127;18,39847919;1;Frozen;
128;41,7006249;0,758;Frozen;
129;63,91063147;0,198;Frozen;
130;71,24459166;1;Frozen;
131;96,77472917;0,784;Frozen;
132;160,1533932;1;Frozen;
133;427,7196144;1;Frozen;
134;404,3161544;0,749;Frozen;
135;382,1475044;0,774;Frozen;
136;379,4769685;1;Frozen;
137;353,7882479;0,21;Frozen;
138;285,955788;1;Frozen;
139;23,40357853;1;Frozen;
140;45,59579859;1;Frozen;
141;55,53712619;1;Frozen;
142;80,26304205;1;Frozen;
143;141,8595875;1;Frozen;
144;22,2102293;0,893;Frozen;
145;36,55597234;1;Frozen;
146;58,99215855;0,42;Frozen;
147;118,4661846;0,516;Frozen;
148;27,52019571;1;Frozen;
149;41,91895459;0,903;Frozen;
150;96,26379509;1;Frozen;
151;26,06463827;1;Frozen;
152;97,4530484;1;Frozen;
153;74,28553603;1;Frozen;
154;223,8062757;0,39;LB;
155;247,051177;0,366;LB;
156;245,9753148;0,403;LB;
157;283,9254929;0,37;LB;
158;307,9315566;0,59;LB;
159;345,3161936;0,583;LB;
160;401,6158531;0,375;LB;
161;455,5200139;0,387;LB;
162;444,5834853;0,409;LB;
163;457,4258341;0,732;LB;
164;43,65457424;0,882;LB;
165;483,371291;0,599;LB;
166;60,87711872;0,399;LB;
167;82,63846185;0,372;LB;
168;104,2380903;0,579;LB;
169;104,0679539;0,585;LB;
170;130,0306613;0,584;LB;
171;188,048409;0,584;LB;
172;199,0831526;0,57;LB;
173;24,89734649;0,375;LB;
174;38,30703074;0,374;LB;
175;68,69487891;0,384;LB;
176;84,83662843;0,602;LB;
177;121,9926516;0,575;LB;
178;177,8353669;0,366;LB;
179;231,7498136;0,368;LB;
180;221,5347297;0,382;LB;
181;236,6107404;0,692;LB;
182;183,2181055;0,881;LB;
183;266,0216275;0,579;LB;
184;164,8204125;0,406;LB;
185;141,7232537;0,384;LB;
186;119,6978668;0,569;LB;
187;124,6929998;0,593;LB;
188;102,8552627;0,569;LB;
189;272,4392967;0,587;LB;
190;29,68909201;0,572;LB;
191;23,51160224;0,371;LB;
192;44,48821114;0,364;LB;
193;60,88954689;0,6;LB;
194;98,26551231;0,597;LB;
195;155,303355;0,368;LB;
196;208,6391738;0,371;LB;
197;197,6446402;0,385;LB;
198;212,0580788;0,712;LB;
199;207,091912;0,857;LB;
200;241,1728868;0,594;LB;
201;188,7010704;0,386;LB;
202;165,4594161;0,384;LB;
203;143,3111256;0,58;LB;
204;146,2030015;0,587;LB;
205;122,9248082;0,588;LB;
206;295,8093898;0,593;LB;
207;48,77972207;0,581;LB;
208;37,95173727;0,369;LB;
209;66,8732678;0,596;LB;
210;103,0654307;0,587;LB;
211;162,019936;0,367;LB;
212;213,3830997;0,383;LB;
213;200,1586281;0,375;LB;
214;211,5183209;0,719;LB;
215;208,0564461;0,872;LB;
216;237,8823688;0,579;LB;
217;189,8574231;0,368;LB;
218;166,4564482;0,372;LB;
219;144,3128893;0,578;LB;
220;142,7231977;0,595;LB;
221;117,7550611;0,57;LB;
222;309,540592;0,579;LB;
223;48,4651629;0,592;LB;
224;35,87248264;0,595;LB;
225;67,93486779;0,556;LB;
226;127,0745401;0,351;LB;
227;176,856629;0,374;LB;
228;162,7887326;0,383;LB;
229;173,5807966;0,695;LB;
230;245,8300277;0,867;LB;
231;200,1535614;0,592;LB;
232;227,5854186;0,386;LB;
233;204,1822833;0,353;LB;
234;182,0028539;0,553;LB;
235;180,6215422;0,589;LB;
236;155,5091193;0,575;LB;
237;340,2622278;0,578;LB;
238;85,80976722;0,575;LB;
239;37,39548459;0,83;LB;
240;95,44293006;0,565;LB;
241;147,9863754;0,582;LB;
242;136,7845159;0,603;LB;
243;152,155966;0,93;LB;
244;267,901343;0,65;LB;
245;183,0600503;0,837;LB;
246;249,5048692;0,589;LB;
247;226,302921;0,573;LB;
248;204,1749137;0,825;LB;
249;206,579014;0,83;LB;
250;182,622734;0,829;LB;
251;345,7468337;0,843;LB;
252;109,2153494;0,81;LB;
253;59,19440608;0,592;LB;
254;110,6924423;0,585;LB;
255;99,54708455;0,587;LB;
256;116,3442248;0,308;LB;
257;305,1750997;0,626;LB;
258;149,1598044;0,832;LB;
259;286,7767549;0,606;LB;
260;263,6098442;0,593;LB;
261;241,5027798;0,803;LB;
262;243,9009465;0,823;LB;
263;219,7909778;0,813;LB;
264;377,2439761;0,831;LB;
265;146,5881175;0,827;LB;
266;54,78740029;0,349;LB;
267;51,71948217;0,377;LB;
268;78,04918581;0,704;LB;
269;360,5822286;0,856;LB;
270;116,1246518;0,572;LB;
271;342,2176069;0,378;LB;
272;319,3276939;0,379;LB;
273;297,4267018;0,58;LB;
274;301,5019934;0,555;LB;
275;277,8970039;0,56;LB;
276;418,326961;0,538;LB;
277;204,0544326;0,585;LB;
278;23,10537991;0,375;LB;
279;47,70630928;0,714;LB;
280;414,8175358;0,87;LB;
281;81,99556469;0,587;LB;
282;396,4337323;0,365;LB;
283;373,4372509;0,355;LB;
284;351,4459689;0,58;LB;
285;354,5645417;0,575;LB;
286;330,4748619;0,581;LB;
287;471,3635542;0,586;LB;
288;257,1845973;0,563;LB;
289;29,63932278;0,715;LB;
290;404,6831541;0,876;LB;
291;67,52596478;0,61;LB;
292;386,2859798;0,405;LB;
293;363,0867131;0,382;LB;
294;340,9525047;0,57;LB;
295;342,4797668;0,61;LB;
296;317,8527606;0,588;LB;
297;469,4270685;0,582;LB;
298;245,5713966;0,567;LB;
299;418,6862791;0,948;LB;
300;38,34814033;0,919;LB;
301;400,342053;0,718;LB;
302;376,9859364;0,713;LB;
303;354,7767545;0,316;LB;
304;354,189639;0,936;LB;
305;328,9491144;0,926;LB;
306;491,6908511;0,912;LB;
307;258,6159237;0,919;LB;
308;445,9368464;0,621;LB;
309;18,39847919;0,866;LB;
310;41,7006249;0,867;LB;
311;63,91063147;0,992;LB;
312;71,24459166;0,615;LB;
313;96,77472917;0,638;LB;
314;172,5878515;0,993;LB;
315;160,1533932;0,992;LB;
316;427,7196144;0,58;LB;
317;404,3161544;0,596;LB;
318;382,1475044;0,834;LB;
319;379,4769685;0,848;LB;
320;353,7882479;0,835;LB;
321;526,2362929;0,843;LB;
322;285,955788;0,823;LB;
323;23,40357853;0,381;LB;
324;45,59579859;0,595;LB;
325;55,53712619;0,615;LB;
326;80,26304205;0,584;LB;
327;176,8366613;0,583;LB;
328;141,8595875;0,585;LB;
329;22,2102293;0,564;LB;
330;36,55597234;0,584;LB;
331;58,99215855;0,578;LB;
332;187,6882611;0,573;LB;
333;118,4661846;0,577;LB;
334;27,52019571;0,817;LB;
335;41,91895459;0,826;LB;
336;198,9596678;0,82;LB;
337;96,26379509;0,814;LB;
338;26,06463827;0,137;LB;
339;223,370963;0,834;LB;
340;97,4530484;0,823;LB;
341;240,5387382;0,818;LB;
342;74,28553603;0,817;LB;
343;266,1071291;0,134;LB;