OTU;Sampler;Storage_type;Taxa7;Taxa8;Taxa9;Taxa11;Taxa15;Taxa18;Taxa19;Taxa20;Taxa21;Taxa23;Taxa24;Taxa25
A1_D;A1;Frozen;1652;0;2062;1852;0;0;0;0;0;0;0;0
A11_D;A11;Frozen;0;4173;0;0;0;0;0;0;0;0;0;0
A12_D;A12;Frozen;13551;0;1691;0;0;0;0;0;0;1536;0;0
A13_D;A13;Frozen;5754;0;0;0;0;3607;0;0;0;0;0;0
A14_D;A14;Frozen;0;0;4628;0;0;0;0;0;0;0;0;0
A15_D;A15;Frozen;6453;0;8781;0;0;0;0;0;0;0;0;0
A16_D;A16;Frozen;10034;0;924;0;0;0;0;0;0;0;0;0
A17_D;A17;Frozen;10904;0;0;0;0;0;0;0;0;0;0;0
A18_D;A18;Frozen;0;0;900;0;0;0;0;0;0;0;0;0
A19_D;A19;Frozen;5481;0;3982;0;0;0;0;0;0;0;45;0
A2_D;A2;Frozen;10285;0;1229;0;0;0;0;0;0;0;0;0
A20_D;A20;Frozen;0;0;2686;0;0;0;0;0;2211;0;0;0
A3_D;A3;Frozen;0;0;0;5830;0;0;0;0;0;0;0;0
A4_D;A4;Frozen;0;11306;2952;0;1276;0;0;0;0;0;0;0
A5_D;A5;Frozen;4668;0;1361;0;0;0;3261;0;0;0;0;0
A6_D;A6;Frozen;0;0;0;0;0;0;0;3075;0;0;0;1424
A7_D;A7;Frozen;0;0;1083;0;11152;0;0;0;629;0;0;0
A9_D;A9;Frozen;0;1571;0;0;0;0;0;0;0;0;0;0