OTU;Sampler;Storage_type;Taxa2;Taxa4;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa13;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa26;Taxa27;Taxa30;Taxa31;Taxa32;Taxa33;Taxa35;Taxa42
A1_B;A1;Buffer;0;26280;0;0;0;0;0;15501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A10_B;A10;Buffer;0;0;0;0;0;0;11939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A19_B;A19;Buffer;0;0;0;5954;0;9061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A20_B;A20;Buffer;0;0;0;0;40504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A4_B;A4;Buffer;0;5416;55479;11783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5_B;A5;Buffer;0;10886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A7_B;A7;Buffer;0;0;0;0;0;0;0;6445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A8_B;A8;Buffer;0;0;0;13319;18648;0;0;0;0;0;0;25115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1_W;A1;LB;13838;12139;0;7288;6081;0;0;0;0;3516;0;0;0;17015;0;3284;0;0;0;0;0;10838;0;0;5670;0;0;0;0
A11_W;A11;LB;0;0;0;7873;0;7485;0;0;0;0;9668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A12_W;A12;LB;19738;0;0;4573;5998;0;2797;8227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A13_W;A13;LB;0;0;0;0;0;4320;4149;8247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A14_W;A14;LB;0;0;0;0;3533;0;2647;0;3354;0;0;0;0;0;0;0;7732;0;0;0;0;0;0;0;0;0;0;0;0
A15_W;A15;LB;0;0;0;0;0;11255;5161;2140;5007;0;0;0;0;0;0;0;2761;0;0;0;0;0;0;0;0;0;0;0;0
A16_W;A16;LB;0;3428;0;0;0;0;0;0;0;0;3617;3762;0;0;0;0;3387;0;0;0;0;0;0;0;0;0;0;0;0
A17_W;A17;LB;5379;0;0;0;0;0;0;0;17060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A18_W;A18;LB;0;2307;0;0;0;3689;0;0;0;3099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A19_W;A19;LB;0;0;0;2999;0;21029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2_W;A2;LB;0;10435;0;0;0;10491;3288;0;10708;0;5387;14455;0;0;0;0;0;0;0;6812;2010;0;0;0;0;0;0;0;0
A20_W;A20;LB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3800;0;0;0;4476;0;0;0;0;0;0;0;2277;0;0
A3_W;A3;LB;202624;7658;0;0;0;0;5006;3877;0;0;874;0;0;0;0;0;1591;0;0;0;0;0;0;6729;0;3561;0;1483;21
A4_W;A4;LB;0;16404;112028;3477;1531;0;5881;7814;0;4074;0;0;0;0;0;0;4442;10267;0;0;0;0;0;0;0;0;0;0;0
A5_W;A5;LB;0;8256;0;9724;0;0;0;2305;0;5990;0;0;0;0;0;0;0;0;0;5134;11116;0;0;0;0;0;0;0;0
A6_W;A6;LB;0;4291;0;0;0;0;0;0;0;5993;0;0;36851;0;0;0;0;5113;0;0;0;0;0;0;0;0;0;0;0
A7_W;A7;LB;0;5680;0;0;0;17270;0;3771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9995;0;0;0;0;0;0
A8_W;A8;LB;0;0;0;0;7982;0;0;0;0;0;14230;0;0;0;0;0;0;0;6711;0;0;0;0;0;0;0;0;0;0
A9_W;A9;LB;0;0;0;5095;0;0;0;0;2259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0