OTU;Sampler;Storage_type;Richness
A1_B;A1;Buffer;2
A1_D;A1;Frozen;17
A1_W;A1;LB;9
A10_B;A10;Buffer;1
A10_D;A10;Frozen;9
A10_W;A10;LB;0
A11_B;A11;Buffer;0
A11_D;A11;Frozen;6
A11_W;A11;LB;3
A12_B;A12;Buffer;0
A12_D;A12;Frozen;8
A12_W;A12;LB;5
A13_B;A13;Buffer;0
A13_D;A13;Frozen;10
A13_W;A13;LB;3
A14_B;A14;Buffer;0
A14_D;A14;Frozen;17
A14_W;A14;LB;4
A15_B;A15;Buffer;0
A15_D;A15;Frozen;13
A15_W;A15;LB;5
A16_B;A16;Buffer;0
A16_D;A16;Frozen;13
A16_W;A16;LB;4
A17_B;A17;Buffer;0
A17_D;A17;Frozen;6
A17_W;A17;LB;2
A18_B;A18;Buffer;0
A18_D;A18;Frozen;6
A18_W;A18;LB;3
A19_B;A19;Buffer;2
A19_D;A19;Frozen;11
A19_W;A19;LB;2
A2_B;A2;Buffer;0
A2_D;A2;Frozen;15
A2_W;A2;LB;8
A20_B;A20;Buffer;1
A20_D;A20;Frozen;12
A20_W;A20;LB;3
A3_B;A3;Buffer;0
A3_D;A3;Frozen;11
A3_W;A3;LB;10
A4_B;A4;Buffer;3
A4_D;A4;Frozen;15
A4_W;A4;LB;9
A5_B;A5;Buffer;1
A5_D;A5;Frozen;13
A5_W;A5;LB;6
A6_B;A6;Buffer;0
A6_D;A6;Frozen;4
A6_W;A6;LB;4
A7_B;A7;Buffer;1
A7_D;A7;Frozen;13
A7_W;A7;LB;4
A8_B;A8;Buffer;3
A8_D;A8;Frozen;8
A8_W;A8;LB;3
A9_B;A9;Buffer;0
A9_D;A9;Frozen;8
A9_W;A9;LB;2