Storage_type;Buffer;Frozen;LB
Taxa2;0;1;1
Taxa4;1;1;1
Taxa5;1;1;1
Taxa6;1;1;1
Taxa7;1;1;1
Taxa8;1;1;1
Taxa9;1;1;1
Taxa10;1;1;1
Taxa11;0;1;1
Taxa12;0;1;1
Taxa13;0;1;1
Taxa14;1;1;1
Taxa15;0;1;1
Taxa16;0;1;1
Taxa17;0;1;1
Taxa18;0;1;1
Taxa19;0;1;1
Taxa20;0;1;1
Taxa21;0;1;1
Taxa22;0;1;1
Taxa23;0;1;1
Taxa24;0;1;0
Taxa25;0;1;0
Taxa26;0;1;1
Taxa27;0;1;1
Taxa29;0;1;0
Taxa30;0;0;1
Taxa31;0;1;1
Taxa32;0;1;1
Taxa33;0;1;1
Taxa34;0;1;0
Taxa35;0;1;1
Taxa36;0;1;0
Taxa37;0;1;0
Taxa38;0;1;0
Taxa40;0;1;0
Taxa41;0;1;0
Taxa42;0;0;1