Sample;Longitude;Latitude
A1;55,6400000;10,1664330
A10;55,6389330;10,1681500
A11;55,6387500;10,1682830
A12;55,6385830;10,1681500
A13;55,6383670;10,1684170
A14;55,6384330;10,1687330
A15;55,6382500;10,1690170
A16;55,6381170;10,1695330
A17;55,6377830;10,1699000
A18;55,6376830;10,1697170
A19;55,6374170;10,1696670
A2;55,6399170;10,1668170
A20;55,6370670;10,1696830
A3;55,6398170;10,1669500
A4;55,6396670;10,1671000
A5;55,6395330;10,1672500
A6;55,6393330;10,1671000
A7;55,6391500;10,1672500
A8;55,6413330;10,1675000
A9;55,6389330;10,1678830