Sample;Taxa2;Taxa4;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa13;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa40;Taxa41;Taxa42
A1;13838;12139;0;7288;6081;0;0;0;0;3516;0;0;0;17015;0;3284;0;0;0;0;0;0;0;10838;0;0;0;5670;0;0;0;0;0;0;0;0;0;0
A11;0;0;0;7873;0;7485;0;0;0;0;9668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A12;19738;0;0;4573;5998;0;2797;8227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A13;0;0;0;0;0;4320;4149;8247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A14;0;0;0;0;3533;0;2647;0;3354;0;0;0;0;0;0;0;7732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A15;0;0;0;0;0;11255;5161;2140;5007;0;0;0;0;0;0;0;2761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A16;0;3428;0;0;0;0;0;0;0;0;3617;3762;0;0;0;0;3387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A17;5379;0;0;0;0;0;0;0;17060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A18;0;2307;0;0;0;3689;0;0;0;3099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A19;0;0;0;2999;0;21029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2;0;10435;0;0;0;10491;3288;0;10708;0;5387;14455;0;0;0;0;0;0;0;6812;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3800;0;0;0;4476;0;0;0;0;0;0;0;0;0;0;2277;0;0;0;0;0;0;0;0
A3;202624;7658;0;0;0;0;5006;3877;0;0;874;0;0;0;0;0;1591;0;0;0;0;0;0;0;0;0;6729;0;3561;0;0;1483;0;0;0;0;0;21
A4;0;16404;112028;3477;1531;0;5881;7814;0;4074;0;0;0;0;0;0;4442;10267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5;0;8256;0;9724;0;0;0;2305;0;5990;0;0;0;0;0;0;0;0;0;5134;11116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A6;0;4291;0;0;0;0;0;0;0;5993;0;0;36851;0;0;0;0;5113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A7;0;5680;0;0;0;17270;0;3771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9995;0;0;0;0;0;0;0;0;0;0;0;0;0
A8;0;0;0;0;7982;0;0;0;0;0;14230;0;0;0;0;0;0;0;6711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A9;0;0;0;5095;0;0;0;0;2259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0