Taxa;SampleID;SampleSite;SampleType;Date;Taxa5;Taxa7;Taxa9;Taxa10;Taxa11;Taxa12;Taxa13;Taxa15;Taxa17;Taxa18;Taxa19;Taxa20;Taxa22;Taxa23;Taxa24
AF1;I1_12VX5;I;12v_5;Day1;0;0;0;0;0;7022;0;0;0;0;0;0;0;0;0
AF10;J2_12VP;J;12vP;Day2;0;0;0;1692;0;0;0;0;0;0;0;0;0;0;0
AF103;G1_12VX5;G;12v_5;Day1;4490;0;0;0;0;702;0;0;0;0;0;0;0;0;0
AF104;C3_12VX5;C;12v_5;Day3;17574;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF110;I2_5V;I;5v;Day2;0;0;0;0;0;0;10165;0;0;0;0;0;0;0;0
AF113;H2_5VX12;H;5v_12;Day2;0;0;10494;0;0;0;0;0;0;0;0;0;0;0;0
AF114;E2_12V;E;12v;Day2;9372;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF115;G3_12V;G;12v;Day3;42076;0;0;0;0;5417;0;0;0;0;0;0;0;0;0
AF117;D2_5VX12;D;5v_12;Day2;0;36652;0;0;0;3929;0;0;0;0;0;0;0;0;0
AF12;I3_12V;I;12v;Day1;0;0;66794;0;6615;0;0;0;0;0;0;0;0;0;0
AF128;H3_5VX12;H;5v_12;Day3;0;0;37883;0;0;0;0;0;0;16726;0;0;0;0;0
AF130;B2_12V;B;12v;Day2;0;25673;0;0;0;0;0;0;0;0;0;0;0;0;0
AF131;H1_12V;H;12v;Day1;5207;0;19197;0;0;3173;0;0;0;0;0;0;0;0;0
AF135;B1_5V;B;5v;Day1;0;0;0;0;0;0;0;0;0;0;0;0;9936;0;0
AF137;A2_12V;A;12v;Day2;0;15039;0;0;5340;3937;0;0;7454;0;0;0;0;6994;0
AF138;E2_5VX12;E;5v_12;Day2;7207;0;0;6285;0;0;8609;0;0;0;0;0;0;0;0
AF14;D2_12VX5;D;12v_5;Day2;0;0;0;0;0;0;0;0;0;0;0;4642;0;0;0
AF140;F2_5VX12;F;5v_12;Day2;10560;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF143;D2_12V;D;12v;Day2;16267;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF147;E2_12VX5;E;12v_5;Day2;0;0;0;0;0;1614;27418;0;0;0;0;0;0;0;0
AF15;B1_5VX12;B;5v_12;Day1;0;0;0;0;0;2697;0;0;0;0;0;0;0;0;0
AF151;B1_12V;B;12v;Day1;0;0;0;0;0;0;0;0;4612;0;0;0;0;0;0
AF152;I2_12V;I;12v;Day2;0;0;0;0;0;5092;0;0;0;0;0;0;0;0;0
AF155;E3_12V;E;12v;Day3;26590;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF162;J1_12V;J;12v;Day1;0;0;0;0;0;0;10780;0;0;0;0;0;0;0;0
AF163;D3_5VX12;D;5v_12;Day3;0;0;0;0;0;0;0;0;0;0;0;8306;0;0;0
AF164;G1_12V;G;12v;Day1;41301;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF169;F1_12VX5;F;12v_5;Day1;8058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF172;F3_5V;F;5v;Day3;0;0;0;0;0;0;16207;0;0;0;0;0;0;0;0
AF173;H3_12V;H;12v;Day3;0;0;8349;0;0;0;0;0;0;0;0;0;0;0;0
AF174;C1_5V;C;5v;Day1;0;15177;0;0;0;0;0;0;0;0;0;0;0;0;0
AF176;H1_12VP;H;12vP;Day1;0;0;0;120801;0;0;0;0;0;0;0;0;0;0;0
AF177;D1_12VX5;D;12v_5;Day1;0;0;0;0;0;3675;0;0;0;0;0;0;0;0;0
AF2;B3_12V;B;12v;Day3;0;4184;0;0;0;0;0;0;0;0;0;0;0;0;0
AF20;D1_12V;D;12v;Day1;0;0;0;0;0;0;0;0;0;0;24901;0;0;0;0
AF21;B2_5V;B;5v;Day2;0;3347;0;0;0;0;0;0;0;0;0;0;0;0;0
AF22;G3_12VX5;G;12v_5;Day3;22219;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF26;G3_5V;G;5v;Day3;43893;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF3;H2_12VX5;H;12v_5;Day2;0;0;0;0;0;2343;0;0;0;0;0;0;0;0;0
AF31;A1_12V;A;12v;Day1;0;0;0;0;0;19347;0;0;0;0;0;0;0;0;0
AF34;C2_5VX12;C;5v_12;Day2;0;0;0;0;0;0;0;27232;0;0;0;0;0;0;0
AF35;G2_5VX12;G;5v_12;Day2;29331;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF37;H2_12V;H;12v;Day2;13989;43180;0;0;0;2367;0;0;0;0;0;0;0;0;0
AF38;G1_5V;G;5v;Day1;78314;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF40;F3_5VX12;F;5v_12;Day3;11042;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF43;A2_12VX5;A;12v_5;Day2;0;0;0;0;0;8672;0;0;0;0;0;0;0;0;0
AF44;J2_5VX12;J;5v_12;Day2;0;0;0;0;0;2054;0;0;0;0;0;10981;0;0;0
AF47;G1_5VX12;G;5v_12;Day1;23239;0;0;0;0;1788;0;0;0;0;0;0;0;0;0
AF49;C1_12V;C;12v;Day1;0;2867;0;0;0;0;0;0;0;0;0;0;0;0;0
AF50;I3_5VX12;I;5v_12;Day3;0;0;0;0;11050;0;0;10684;0;0;0;0;0;0;0
AF52;G2_12V;G;12v;Day2;30049;0;0;0;0;7179;0;0;0;0;0;0;0;0;0
AF55;J3_5V;J;5v;Day3;0;0;0;0;100308;0;0;0;0;0;0;0;0;0;0
AF56;H1_5VX12;H;5v_12;Day1;11872;0;0;0;0;620;0;0;0;0;0;0;0;0;0
AF61;J1_5V;J;5v;Day1;0;0;0;0;0;0;0;0;9899;0;0;0;0;0;0
AF67;F3_12V;F;12v;Day3;30009;0;0;0;0;0;0;0;0;10924;0;0;0;0;0
AF69;E1_5VX12;E;5v_12;Day1;0;0;0;0;0;21875;0;0;0;0;0;0;0;0;0
AF70;J1_12VX5;J;12v_5;Day1;0;0;0;0;0;1594;0;0;0;0;0;0;0;0;0
AF75;H1_5V;H;5v;Day1;20993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF79;B3_5V;B;5v;Day3;0;0;0;0;0;0;0;0;7799;0;0;0;0;0;0
AF8;J2_12VX5;J;12v_5;Day2;0;16865;0;0;0;0;0;0;0;0;0;0;0;0;0
AF86;I1_12V;I;12v;Day1;6061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF87;A2_5VX12;A;5v_12;Day2;5652;29962;0;0;0;0;0;0;0;0;0;0;0;0;0
AF88;A3_12VP;A;12vP;Day3;0;0;0;0;0;2605;26577;3333;0;0;0;0;0;0;0
AF90;D3_12V;D;12v;Day3;20085;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF92;B3_5VX12;B;5v_12;Day3;0;4262;0;0;0;0;0;0;0;0;0;0;0;0;0
AF93;F1_5V;F;5v;Day1;0;0;0;0;0;9133;0;0;0;0;0;0;0;0;0
AF95;B3_12VX5;B;12v_5;Day3;0;17045;0;0;0;0;0;0;0;0;0;0;0;0;5965
AF96;G3_5VX12;G;5v_12;Day3;75283;0;0;0;0;0;0;0;0;0;0;0;0;0;0