Taxa;SampleID;SampleSite;SampleType;Date;Cord_X;Cord_Y;Richness
AF1;I1_12VX5;I;12v_5;Day1;0,285448186;0,447126392;1
AF10;J2_12VP;J;12vP;Day2;0,131899606;-0,014781641;1
AF103;G1_12VX5;G;12v_5;Day1;-0,163117127;0,061441767;2
AF104;C3_12VX5;C;12v_5;Day3;-0,495460925;-0,011812332;1
AF110;I2_5V;I;5v;Day2;0,181348442;0,000670042;1
AF113;H2_5VX12;H;5v_12;Day2;0,157030778;-0,006354433;1
AF114;E2_12V;E;12v;Day2;-0,390733657;-0,025651683;1
AF115;G3_12V;G;12v;Day3;-0,344174598;0,105820693;2
AF117;D2_5VX12;D;5v_12;Day2;0,26965129;-0,290043373;2
AF12;I3_12V;I;12v;Day1;0,155743875;-0,013392907;2
AF128;H3_5VX12;H;5v_12;Day3;0,144138411;-0,007693915;2
AF130;B2_12V;B;12v;Day2;0,265044912;-0,448585898;1
AF131;H1_12V;H;12v;Day1;0,017722115;0,093071816;3
AF135;B1_5V;B;5v;Day1;0,133146992;-0,014297262;1
AF137;A2_12V;A;12v;Day2;0,277025153;-0,211577943;5
AF138;E2_5VX12;E;5v_12;Day2;-0,114133047;-0,015378293;3
AF14;D2_12VX5;D;12v_5;Day2;0,157014752;0,001981153;1
AF140;F2_5VX12;F;5v_12;Day2;-0,417715044;-0,024422254;1
AF143;D2_12V;D;12v;Day2;-0,488017461;-0,014794603;1
AF147;E2_12VX5;E;12v_5;Day2;0,203694416;0,066717078;2
AF15;B1_5VX12;B;5v_12;Day1;0,276436501;0,402874157;1
AF151;B1_12V;B;12v;Day1;0,163991128;-0,033743629;1
AF152;I2_12V;I;12v;Day2;0,290200083;0,450038717;1
AF155;E3_12V;E;12v;Day3;-0,496117833;0,004048068;1
AF162;J1_12V;J;12v;Day1;0,182859703;0,001347744;1
AF163;D3_5VX12;D;5v_12;Day3;0,162156025;0,008333466;1
AF164;G1_12V;G;12v;Day1;-0,419541169;0,011403247;1
AF169;F1_12VX5;F;12v_5;Day1;-0,353570771;-0,026632435;1
AF172;F3_5V;F;5v;Day3;0,188803944;0,006311252;1
AF173;H3_12V;H;12v;Day3;0,155364906;-0,007644358;1
AF174;C1_5V;C;5v;Day1;0,278727901;-0,463296574;1
AF176;H1_12VP;H;12vP;Day1;0,132520394;-0,014622489;1
AF177;D1_12VX5;D;12v_5;Day1;0,287894718;0,433339828;1
AF2;B3_12V;B;12v;Day3;0,251299974;-0,352799536;1
AF20;D1_12V;D;12v;Day1;0,133146992;-0,014297262;1
AF21;B2_5V;B;5v;Day2;0,243255706;-0,328056939;1
AF22;G3_12VX5;G;12v_5;Day3;-0,50486808;-0,002442933;1
AF26;G3_5V;G;5v;Day3;-0,404739763;0,011407306;1
AF3;H2_12VX5;H;12v_5;Day2;0,268664134;0,382780921;1
AF31;A1_12V;A;12v;Day1;0,239065553;0,30830251;1
AF34;C2_5VX12;C;5v_12;Day2;0,142397976;-0,014347721;1
AF35;G2_5VX12;G;5v_12;Day2;-0,486279646;0,007196681;1
AF37;H2_12V;H;12v;Day2;-0,022110733;-0,260523043;3
AF38;G1_5V;G;5v;Day1;-0,25257741;0,006538542;1
AF40;F3_5VX12;F;5v_12;Day3;-0,427091851;-0,023861359;1
AF43;A2_12VX5;A;12v_5;Day2;0,280094182;0,430967631;1
AF44;J2_5VX12;J;5v_12;Day2;0,205741814;0,141883571;2
AF47;G1_5VX12;G;5v_12;Day1;-0,459229511;0,069226977;2
AF49;C1_12V;C;12v;Day1;0,235482772;-0,306110974;1
AF50;I3_5VX12;I;5v_12;Day3;0,151700524;-0,021571507;2
AF52;G2_12V;G;12v;Day2;-0,368796539;0,148762552;2
AF55;J3_5V;J;5v;Day3;0,139086267;-0,018228525;1
AF56;H1_5VX12;H;5v_12;Day1;-0,418396326;0,019412052;2
AF61;J1_5V;J;5v;Day1;0,168438433;-0,038086261;1
AF67;F3_12V;F;12v;Day3;-0,394894128;0,006579051;2
AF69;E1_5VX12;E;5v_12;Day1;0,231431545;0,286581295;1
AF70;J1_12VX5;J;12v_5;Day1;0,241289772;0,313541832;1
AF75;H1_5V;H;5v;Day1;-0,504578589;-0,004712311;1
AF79;B3_5V;B;5v;Day3;0,170510806;-0,039220356;1
AF8;J2_12VX5;J;12v_5;Day2;0,278733708;-0,468387495;1
AF86;I1_12V;I;12v;Day1;-0,278752973;-0,026759866;1
AF87;A2_5VX12;A;5v_12;Day2;0,087297276;-0,398811109;2
AF88;A3_12VP;A;12vP;Day3;0,213169409;0,087922221;3
AF90;D3_12V;D;12v;Day3;-0,503439335;-0,006490387;1
AF92;B3_5VX12;B;5v_12;Day3;0,251788874;-0,354454901;1
AF93;F1_5V;F;5v;Day1;0,278239561;0,425238871;1
AF95;B3_12VX5;B;12v_5;Day3;0,262458756;-0,42396397;2
AF96;G3_5VX12;G;5v_12;Day3;-0,262821747;0,006985045;1